"year";"month";"day";"precip";"tmax";"tmin"
"1981";"01";"01";0;-999;-999
"1981";"01";"02";0;-999;-999
"1981";"01";"03";0;27.88;16.16
"1981";"01";"04";0;27.41;16.09
"1981";"01";"05";0;28.83;14.7
"1981";"01";"06";0;30.06;15.72
"1981";"01";"07";0;32.19;16.42
"1981";"01";"08";0;31.6;17.37
"1981";"01";"09";0;29.61;16.01
"1981";"01";"10";0;30.33;15.28
"1981";"01";"11";0;31.93;16.41
"1981";"01";"12";0;28.62;15.9
"1981";"01";"13";0;28.42;16.37
"1981";"01";"14";0;27.15;15.02
"1981";"01";"15";0;25.91;12.79
"1981";"01";"16";0;27.34;14.69
"1981";"01";"17";0;27.94;14.15
"1981";"01";"18";0;27.38;13.33
"1981";"01";"19";0;29.28;14.02
"1981";"01";"20";0;28.69;16.06
"1981";"01";"21";0;29.3;16.42
"1981";"01";"22";0;28.96;16.2
"1981";"01";"23";0;28.19;15.44
"1981";"01";"24";0;27.48;13.16
"1981";"01";"25";0;22.79;14.24
"1981";"01";"26";0;24.94;13.84
"1981";"01";"27";0;26.44;15
"1981";"01";"28";0;26.56;16.35
"1981";"01";"29";0;29.77;16.65
"1981";"01";"30";0;29.42;16.48
"1981";"01";"31";0;26.74;14.83
"1981";"02";"01";0;27.31;13.21
"1981";"02";"02";0;28.76;15.98
"1981";"02";"03";0;26.98;15.66
"1981";"02";"04";0;28.26;16
"1981";"02";"05";0;27.88;15.65
"1981";"02";"06";0;28.16;14.96
"1981";"02";"07";0;31.82;17.11
"1981";"02";"08";0;35.98;16.5
"1981";"02";"09";0;31.41;17.26
"1981";"02";"10";0;28.4;14.5
"1981";"02";"11";0;26.64;12.35
"1981";"02";"12";0;28.55;14.67
"1981";"02";"13";0;27.7;14.28
"1981";"02";"14";0;32.26;15.65
"1981";"02";"15";0;30.02;17.25
"1981";"02";"16";0;29.01;16.98
"1981";"02";"17";0;35.9;19.12
"1981";"02";"18";0;36.68;18.44
"1981";"02";"19";0;31.31;19.11
"1981";"02";"20";0;28.75;16.83
"1981";"02";"21";0;27.16;15.29
"1981";"02";"22";0;30.75;15.74
"1981";"02";"23";0;30.85;16
"1981";"02";"24";0;31.2;18.03
"1981";"02";"25";0;28.76;18.35
"1981";"02";"26";0;28.89;17.45
"1981";"02";"27";0;28.8;15.25
"1981";"02";"28";0;29.61;15.83
"1981";"03";"01";0;29.54;17.16
"1981";"03";"02";3.1;29.39;16.96
"1981";"03";"03";0;24.42;12.73
"1981";"03";"04";0;24.78;13.47
"1981";"03";"05";0;30.85;15.51
"1981";"03";"06";0;31.95;17.28
"1981";"03";"07";0;36.42;15.25
"1981";"03";"08";0;29.15;14.62
"1981";"03";"09";0;27.83;14.95
"1981";"03";"10";0;28.85;15.12
"1981";"03";"11";0;32.38;15.13
"1981";"03";"12";0;27.26;15.51
"1981";"03";"13";0;27.73;14.95
"1981";"03";"14";0;28.51;15.11
"1981";"03";"15";0;26.84;14.43
"1981";"03";"16";0;25.63;12.04
"1981";"03";"17";0;26.5;12.6
"1981";"03";"18";0;27.58;13.22
"1981";"03";"19";0;27.79;13.74
"1981";"03";"20";0;29.08;14.54
"1981";"03";"21";0;28.2;15.46
"1981";"03";"22";0;29.61;14.88
"1981";"03";"23";8.92;29.61;15.39
"1981";"03";"24";0;23.1;13.85
"1981";"03";"25";4.49;22.12;13.22
"1981";"03";"26";0;19.9;14.75
"1981";"03";"27";0;23.22;12.58
"1981";"03";"28";0;25.72;12.51
"1981";"03";"29";0;25.63;13.52
"1981";"03";"30";0;27.97;13.16
"1981";"03";"31";0;35.01;13.41
"1981";"04";"01";0;28.29;14.17
"1981";"04";"02";0;24.15;12.64
"1981";"04";"03";0;24.62;13.38
"1981";"04";"04";0;24.96;13.3
"1981";"04";"05";0;27.94;14.32
"1981";"04";"06";0;27.55;14.92
"1981";"04";"07";0;26.01;13.98
"1981";"04";"08";0;21.97;10.02
"1981";"04";"09";0;22.26;8.63
"1981";"04";"10";0;24.79;9.51
"1981";"04";"11";0;26.96;12.04
"1981";"04";"12";0;23.22;12.63
"1981";"04";"13";0;25.8;10.92
"1981";"04";"14";0;27.55;11.36
"1981";"04";"15";0;31.21;12.87
"1981";"04";"16";0;35.04;16.22
"1981";"04";"17";0;23.72;12.07
"1981";"04";"18";0;27.79;13.21
"1981";"04";"19";0;34.45;15.38
"1981";"04";"20";0;31.84;14.27
"1981";"04";"21";0;27.92;12.89
"1981";"04";"22";0;31.17;13.68
"1981";"04";"23";0;32.55;14.74
"1981";"04";"24";0;24.65;11.66
"1981";"04";"25";0;22.97;10.69
"1981";"04";"26";10.48;21.8;11.33
"1981";"04";"27";9.34;18.19;12.33
"1981";"04";"28";0;20.13;10
"1981";"04";"29";0;21.4;9.75
"1981";"04";"30";0;22.21;10.2
"1981";"05";"01";0;25.71;9.53
"1981";"05";"02";0;22.89;9.36
"1981";"05";"03";0;21.81;9.26
"1981";"05";"04";0;29.73;10.65
"1981";"05";"05";0;21.28;11.16
"1981";"05";"06";0;19.57;10.13
"1981";"05";"07";0;21.98;9.35
"1981";"05";"08";0;25.77;11.63
"1981";"05";"09";0;25.48;11.24
"1981";"05";"10";0;22.82;10.31
"1981";"05";"11";0;22.02;8
"1981";"05";"12";7.2;18.38;8.71
"1981";"05";"13";0;18.67;9.77
"1981";"05";"14";0;21.27;9.52
"1981";"05";"15";0;26.54;12.64
"1981";"05";"16";0;26.97;9.76
"1981";"05";"17";0;24.51;8.99
"1981";"05";"18";0;24.02;10.52
"1981";"05";"19";0;23.59;9.78
"1981";"05";"20";0;23.53;8.93
"1981";"05";"21";0;28.47;9.72
"1981";"05";"22";0;22.58;10.18
"1981";"05";"23";0;25.6;14.97
"1981";"05";"24";0;27.51;15.22
"1981";"05";"25";0;28.12;15.03
"1981";"05";"26";0;21.09;12.23
"1981";"05";"27";0;18.5;8.15
"1981";"05";"28";0;16.9;7.69
"1981";"05";"29";5.88;18.49;9.82
"1981";"05";"30";0;17.42;8.57
"1981";"05";"31";0;18.32;7.47
"1981";"06";"01";0;18.99;7.42
"1981";"06";"02";0;23.96;7.54
"1981";"06";"03";0;18.56;8.19
"1981";"06";"04";0;17.35;9.38
"1981";"06";"05";12.63;16.32;10.22
"1981";"06";"06";2.99;17.67;11.27
"1981";"06";"07";0;17.42;6.15
"1981";"06";"08";0;16.66;5.72
"1981";"06";"09";0;18.96;5.66
"1981";"06";"10";0;19.52;3.72
"1981";"06";"11";0;17.18;8.12
"1981";"06";"12";0;20.08;5.41
"1981";"06";"13";0;20.13;6.55
"1981";"06";"14";0;19.61;5.11
"1981";"06";"15";0;18.01;6.42
"1981";"06";"16";0;16.75;2.04
"1981";"06";"17";0;17.6;7.2
"1981";"06";"18";0;20.97;5.94
"1981";"06";"19";0;20.72;4.66
"1981";"06";"20";9.5;21.42;5.05
"1981";"06";"21";5.98;16.57;9.24
"1981";"06";"22";0;15.19;3.14
"1981";"06";"23";0;17.41;3.43
"1981";"06";"24";0;19.79;5.03
"1981";"06";"25";0;16.94;5.94
"1981";"06";"26";0;15.48;4.52
"1981";"06";"27";0;18.06;6.67
"1981";"06";"28";0;16.48;6.8
"1981";"06";"29";0;16.96;4.96
"1981";"06";"30";0;16.9;5.62
"1981";"07";"01";0;15.41;8.89
"1981";"07";"02";0;16.42;6.74
"1981";"07";"03";0;17.55;5.77
"1981";"07";"04";0;19.07;5.19
"1981";"07";"05";0;20.53;5.54
"1981";"07";"06";0;19.31;6.88
"1981";"07";"07";12.42;17.17;7.18
"1981";"07";"08";0;11.46;0.99
"1981";"07";"09";0;13.84;2.86
"1981";"07";"10";16.04;18.24;5.9
"1981";"07";"11";2.55;15.19;7.95
"1981";"07";"12";6.3;14.95;8.25
"1981";"07";"13";0;14.72;8.05
"1981";"07";"14";0;15.67;2.88
"1981";"07";"15";0;16.6;3.41
"1981";"07";"16";0;17.69;4.82
"1981";"07";"17";0;17.16;7.06
"1981";"07";"18";0;17.13;4.27
"1981";"07";"19";23.46;19.35;6.29
"1981";"07";"20";0;15.57;4.38
"1981";"07";"21";0;13.76;2.58
"1981";"07";"22";3.23;17.36;4.7
"1981";"07";"23";0;15.01;5.75
"1981";"07";"24";0;15.51;3.55
"1981";"07";"25";0;17.81;4.34
"1981";"07";"26";0;23.45;7.66
"1981";"07";"27";6.49;17.34;8.77
"1981";"07";"28";5.1;16.24;6.15
"1981";"07";"29";0;16.49;4.55
"1981";"07";"30";0;18.7;5.65
"1981";"07";"31";0;22.22;6.31
"1981";"08";"01";10.64;17.66;8.6
"1981";"08";"02";0;14.67;4.82
"1981";"08";"03";9.12;14.66;3.11
"1981";"08";"04";11.86;14.74;5.34
"1981";"08";"05";0;13.68;6
"1981";"08";"06";0;17.58;4.41
"1981";"08";"07";12.51;18.98;9.06
"1981";"08";"08";0;15.5;7.55
"1981";"08";"09";0;18.15;7.53
"1981";"08";"10";14.87;20.08;8.38
"1981";"08";"11";0;14.64;6.83
"1981";"08";"12";0;16.21;6.2
"1981";"08";"13";0;17.66;6.69
"1981";"08";"14";0;17.04;4.5
"1981";"08";"15";0;18.4;5.45
"1981";"08";"16";0;20.31;5.02
"1981";"08";"17";0;16.84;5.81
"1981";"08";"18";0;16.92;5.44
"1981";"08";"19";0;17.5;3.11
"1981";"08";"20";0;19.76;3.92
"1981";"08";"21";0;22.42;9.4
"1981";"08";"22";0;22.43;10.16
"1981";"08";"23";0;16.95;8.93
"1981";"08";"24";0;16.15;10.27
"1981";"08";"25";0;15.86;7.57
"1981";"08";"26";6.87;19.48;6.69
"1981";"08";"27";8.3;16.7;7.62
"1981";"08";"28";0;11.81;3.52
"1981";"08";"29";0;13.9;6.87
