"year";"month";"day";"precip";"tmax";"tmin"
"1981";"01";"01";0;-999;-999
"1981";"01";"02";0;-999;-999
"1981";"01";"03";0;26.09;17.08
"1981";"01";"04";0;26.97;16.13
"1981";"01";"05";0;27.26;14
"1981";"01";"06";0;27.62;15.12
"1981";"01";"07";0;31.1;18.23
"1981";"01";"08";0;31.82;18.77
"1981";"01";"09";0;25.92;16.53
"1981";"01";"10";0;29;16.99
"1981";"01";"11";0;29.79;19.29
"1981";"01";"12";0;28.73;16.1
"1981";"01";"13";0;28.14;17.66
"1981";"01";"14";0;26.29;16.14
"1981";"01";"15";0;24.81;13.05
"1981";"01";"16";0;25.77;15.86
"1981";"01";"17";0;26.82;14.49
"1981";"01";"18";0;23.48;14.42
"1981";"01";"19";0;25.76;16.72
"1981";"01";"20";0;28.15;16.24
"1981";"01";"21";0;28.75;17.32
"1981";"01";"22";0;26.68;18.42
"1981";"01";"23";0;27.66;17.34
"1981";"01";"24";33.1;26.53;13.24
"1981";"01";"25";46.22;18.53;14.45
"1981";"01";"26";25.18;20.64;15.93
"1981";"01";"27";5.52;26.47;16.93
"1981";"01";"28";0;23.98;17.63
"1981";"01";"29";0;25.63;18.21
"1981";"01";"30";0;28.52;18.83
"1981";"01";"31";0;24.93;16.46
"1981";"02";"01";0;24.64;14.49
"1981";"02";"02";47.3;26.25;18.04
"1981";"02";"03";0;23.02;18.63
"1981";"02";"04";0;25.13;17.91
"1981";"02";"05";0;26.17;17.34
"1981";"02";"06";0;24.19;15.99
"1981";"02";"07";0;26.33;16.63
"1981";"02";"08";0;27;16.86
"1981";"02";"09";0;31.63;18.44
"1981";"02";"10";0;25.63;16.18
"1981";"02";"11";0;24.03;13.4
"1981";"02";"12";0;26.79;15.87
"1981";"02";"13";0;25.48;15.85
"1981";"02";"14";0;28.08;15.21
"1981";"02";"15";0;26.8;20.4
"1981";"02";"16";0;27.15;19.75
"1981";"02";"17";0;28.81;20.35
"1981";"02";"18";0;30.39;20.24
"1981";"02";"19";0;30.38;20.09
"1981";"02";"20";4.62;24.97;18.94
"1981";"02";"21";0;23.18;16.74
"1981";"02";"22";0;24.7;16.59
"1981";"02";"23";0;27.12;16.8
"1981";"02";"24";4.17;30.15;17.39
"1981";"02";"25";4.37;28.37;19.4
"1981";"02";"26";0;26.42;19.05
"1981";"02";"27";0;26.08;16.95
"1981";"02";"28";0;29.1;16.48
"1981";"03";"01";0;27.94;19.04
"1981";"03";"02";6.63;30.71;17.7
"1981";"03";"03";0;22.28;13.3
"1981";"03";"04";0;21.33;13.27
"1981";"03";"05";0;25.02;13.62
"1981";"03";"06";0;25.64;15.27
"1981";"03";"07";0;27.83;15.03
"1981";"03";"08";0;29.01;17.25
"1981";"03";"09";0;24.95;13.01
"1981";"03";"10";0;26.81;16.7
"1981";"03";"11";0;27.82;15.8
"1981";"03";"12";0;26.51;16.64
"1981";"03";"13";0;26.79;16.25
"1981";"03";"14";0;26.35;16.42
"1981";"03";"15";0;27.1;15.01
"1981";"03";"16";0;24.16;12.16
"1981";"03";"17";0;24.71;11.96
"1981";"03";"18";0;25.84;13.23
"1981";"03";"19";0;26.48;14.34
"1981";"03";"20";0;27.57;14.82
"1981";"03";"21";0;27.14;15.53
"1981";"03";"22";0;27.04;18.02
"1981";"03";"23";19.71;31.09;17.02
"1981";"03";"24";0;24.3;15.12
"1981";"03";"25";28.78;20.96;13.87
"1981";"03";"26";4.31;19.72;16.2
"1981";"03";"27";0;21.29;13.38
"1981";"03";"28";0;22.46;13.05
"1981";"03";"29";0;24.21;13.93
"1981";"03";"30";0;25;14.05
"1981";"03";"31";0;28.23;14.18
"1981";"04";"01";6.01;30.15;15.46
"1981";"04";"02";0;23.04;13.2
"1981";"04";"03";0;24.73;14.52
"1981";"04";"04";0;25.01;12.93
"1981";"04";"05";0;27.1;15.47
"1981";"04";"06";0;24.69;17.51
"1981";"04";"07";2.48;24.11;14.9
"1981";"04";"08";2.78;21.29;11.85
"1981";"04";"09";0;20.19;9.38
"1981";"04";"10";0;22.37;10.2
"1981";"04";"11";0;25.19;12.04
"1981";"04";"12";0;24.38;15.5
"1981";"04";"13";0;23.14;11.78
"1981";"04";"14";0;25.99;11.72
"1981";"04";"15";0;26.94;14.43
"1981";"04";"16";0;31.54;15.97
"1981";"04";"17";0;22.58;12.28
"1981";"04";"18";0;22.81;12.75
"1981";"04";"19";0;27.76;12.85
"1981";"04";"20";0;27.24;16.15
"1981";"04";"21";0;30.17;12.14
"1981";"04";"22";0;29.29;13.82
"1981";"04";"23";17.8;29.41;12.8
"1981";"04";"24";8.82;24.32;13.79
"1981";"04";"25";0;19.96;12.85
"1981";"04";"26";36.87;21.19;12.24
"1981";"04";"27";10.63;16.49;13.15
"1981";"04";"28";0;19.68;11.3
"1981";"04";"29";0;19.68;12.49
"1981";"04";"30";0;20.43;10.1
"1981";"05";"01";0;23.14;10.89
"1981";"05";"02";0;21.92;10.04
"1981";"05";"03";0;19.31;10.34
"1981";"05";"04";0;23.96;10.12
"1981";"05";"05";7.84;22.16;12.29
"1981";"05";"06";0;16.39;12.28
"1981";"05";"07";0;18.82;11.71
"1981";"05";"08";0;21.65;11.82
"1981";"05";"09";0;21.78;11.05
"1981";"05";"10";0;22.03;10.02
"1981";"05";"11";0;21.94;10.94
"1981";"05";"12";0;19.81;11.53
"1981";"05";"13";0;19.33;10.29
"1981";"05";"14";0;20.94;10.23
"1981";"05";"15";0;22.78;10.75
"1981";"05";"16";0;27.38;8.76
"1981";"05";"17";0;24.8;9.18
"1981";"05";"18";0;26.33;10.26
"1981";"05";"19";0;21.16;12.35
"1981";"05";"20";0;21;12.89
"1981";"05";"21";0;23.95;11.18
"1981";"05";"22";0;19.62;12.54
"1981";"05";"23";0;20.24;9.57
"1981";"05";"24";0;27.09;12.85
"1981";"05";"25";0;28.29;15.78
"1981";"05";"26";0;23.9;11.92
"1981";"05";"27";0;18.66;8.4
"1981";"05";"28";0;16.26;10.3
"1981";"05";"29";17.35;19.09;12.21
"1981";"05";"30";9.59;17.04;10.17
"1981";"05";"31";0;18.8;7.6
"1981";"06";"01";0;19.14;8.28
"1981";"06";"02";0;21.02;8.17
"1981";"06";"03";0;22.57;7.84
"1981";"06";"04";4.22;19.35;7.65
"1981";"06";"05";0;18.74;9.12
"1981";"06";"06";7.45;19.03;11.09
"1981";"06";"07";0;18.81;6.6
"1981";"06";"08";0;15.4;6.9
"1981";"06";"09";0;17.99;3.29
"1981";"06";"10";0;18.75;6.27
"1981";"06";"11";0;17.13;8.81
"1981";"06";"12";0;20.5;6.59
"1981";"06";"13";0;19.44;6.28
"1981";"06";"14";0;18.31;5.99
"1981";"06";"15";4.49;18.01;8
"1981";"06";"16";0;16.9;3.42
"1981";"06";"17";0;16.43;2.96
"1981";"06";"18";0;19.91;5.36
"1981";"06";"19";0;20;5.86
"1981";"06";"20";7.02;21.9;4.85
"1981";"06";"21";8.25;18.4;7.53
"1981";"06";"22";0;15.95;3.18
"1981";"06";"23";0;15.89;3.53
"1981";"06";"24";0;20.12;5.57
"1981";"06";"25";0;19.04;6.05
"1981";"06";"26";0;16;6.19
"1981";"06";"27";3.32;18.56;7.03
"1981";"06";"28";0;17.69;6.96
"1981";"06";"29";0;18.05;4.51
"1981";"06";"30";0;18.33;5.23
"1981";"07";"01";0;18.72;8.75
"1981";"07";"02";0;18.88;7.93
"1981";"07";"03";0;18.47;5.69
"1981";"07";"04";0;18.16;4.21
"1981";"07";"05";0;20.38;6.21
"1981";"07";"06";0;17.88;6.87
"1981";"07";"07";27.17;18.07;6.2
"1981";"07";"08";0;12.14;2.56
"1981";"07";"09";0;15.08;4.51
"1981";"07";"10";0;18.93;5.67
"1981";"07";"11";0;17.7;8.11
"1981";"07";"12";5.76;17.05;10.04
"1981";"07";"13";0;17.97;9.02
"1981";"07";"14";0;15.94;3.05
"1981";"07";"15";0;16.48;3.42
"1981";"07";"16";0;16.84;3.73
"1981";"07";"17";0;17.92;4.5
"1981";"07";"18";0;18.33;4.69
"1981";"07";"19";17.18;21.32;5.54
"1981";"07";"20";0;20.15;5.09
"1981";"07";"21";0;14.43;3.29
"1981";"07";"22";3.08;17.54;8.04
"1981";"07";"23";0;19.09;4.01
"1981";"07";"24";0;16.45;4.56
"1981";"07";"25";0;15.75;4.87
"1981";"07";"26";0;21.51;7.65
"1981";"07";"27";0;20.75;8.79
"1981";"07";"28";6.82;16.98;4
"1981";"07";"29";0;18.9;5.16
"1981";"07";"30";0;17.38;5.2
"1981";"07";"31";0;21.97;6.28
"1981";"08";"01";6.44;17.71;9.49
"1981";"08";"02";0;14.31;5.58
"1981";"08";"03";0;15.75;2.65
"1981";"08";"04";0;16.6;4.26
"1981";"08";"05";0;15.84;6.79
"1981";"08";"06";0;18.28;4.78
"1981";"08";"07";2.75;20.25;7.32
"1981";"08";"08";0;18.31;5.35
"1981";"08";"09";0;19.21;7.33
"1981";"08";"10";2.9;20.46;7.98
"1981";"08";"11";0;17.54;7.08
"1981";"08";"12";0;18.13;8.93
"1981";"08";"13";0;18.81;9.79
"1981";"08";"14";0;17.27;5.64
"1981";"08";"15";0;16.45;6.69
"1981";"08";"16";0;17.13;6.35
"1981";"08";"17";0;15.85;7.6
"1981";"08";"18";0;15.39;5.63
"1981";"08";"19";0;15.37;4.61
"1981";"08";"20";0;17.49;5.72
"1981";"08";"21";0;16.71;7.51
"1981";"08";"22";0;17.02;11.21
"1981";"08";"23";0;17.41;9.5
"1981";"08";"24";21.17;18.48;11.08
"1981";"08";"25";0;16.7;9.92
"1981";"08";"26";0;18.8;7.22
"1981";"08";"27";49.06;18.99;8.29
"1981";"08";"28";0;13.13;4.97
