year;month;day;precip;tmax;tmin
1980;01;01;0;23;17
1980;01;02;0;24;14
1980;01;03;6;23;12
1980;01;04;11;17;13
1980;01;05;0;17;14
1980;01;06;0;22;14
1980;01;07;0;28;14
1980;01;08;0;31;15
1980;01;09;0;25;16
1980;01;10;0;26;19
1980;01;11;0;31;19
1980;01;12;0.5;24;16
1980;01;13;0.1;22;18
1980;01;14;0;26;16
1980;01;15;0;30;17
1980;01;16;0;30;19
1980;01;17;0;30;21
1980;01;18;0;27;17
1980;01;19;0;25;19
1980;01;20;7.3;26;20
1980;01;21;0.3;25;20
1980;01;22;4.3;28;18
1980;01;23;20.5;20;18
1980;01;24;0;15;11
1980;01;25;0;27;12
1980;01;26;0;28;14
1980;01;27;0;24;17
1980;01;28;0;26;18
1980;01;29;1.4;27;20
1980;01;30;2;26;21
1980;01;31;6.5;25;20
1980;02;01;22.5;17;15
1980;02;02;0;17;13
1980;02;03;30;19;13
1980;02;04;25;17;14
1980;02;05;0;17;14
1980;02;06;0.2;22;16
1980;02;07;0;22;16
1980;02;08;0;30;15
1980;02;09;7;31;19
1980;02;10;4;22;20
1980;02;11;2;17;13
1980;02;12;0.2;20;13
1980;02;13;0.2;19;16
1980;02;14;0;24;16
1980;02;15;0;24;19
1980;02;16;3;30;15
1980;02;17;5;21;18
1980;02;18;1;18;15
1980;02;19;0;29;15
1980;02;20;0;30;16
1980;02;21;0;30;22
1980;02;22;0;30;20
1980;02;23;0;31;17
1980;02;24;0;30;17
1980;02;25;8;25;14
1980;02;26;4;25;14
1980;02;27;2.2;17;13
1980;02;28;0;22;14
1980;02;29;0;31;15
1980;03;01;27;30;16
1980;03;02;15.5;26.5;12
1980;03;03;0;17;9
1980;03;04;0;29;10
1980;03;05;0;29;14
1980;03;06;0;26;18
1980;03;07;0;32;18
1980;03;08;0;33;19
1980;03;09;0;29;18
1980;03;10;0;30;19
1980;03;11;0;32;18.5
1980;03;12;0;31;21
1980;03;13;0;33;21
1980;03;14;4.6;25;21
1980;03;15;0.8;34.5;19
1980;03;16;0;33;19
1980;03;17;1;34;22
1980;03;18;3.2;27.5;18
1980;03;19;0;27;16
1980;03;20;0.2;32;16
1980;03;21;0.3;27;17
1980;03;22;0;28;19.5
1980;03;23;0;30;19
1980;03;24;0;31;23
1980;03;25;0;32;22
1980;03;26;0;32.5;21.5
1980;03;27;0;30.5;17
1980;03;28;0;33;19
1980;03;29;0;32.5;23
1980;03;30;1;33;24
1980;03;31;0;34;20
1980;04;01;0;33;20
1980;04;02;0;33;23
1980;04;03;0;32;24
1980;04;04;55;31;24.5
1980;04;05;0;28;22
1980;04;06;0;30;21
1980;04;07;0;32;22
1980;04;08;3;32.5;24
1980;04;09;2;23;19
1980;04;10;2;28;18
1980;04;11;0;30;19
1980;04;12;0;30;23
1980;04;13;13.5;30.5;22.5
1980;04;14;2;27.5;15
1980;04;15;1;25.5;14.5
1980;04;16;0;24;15
1980;04;17;0;24;19
1980;04;18;0.3;23;20
1980;04;19;2;25;18.5
1980;04;20;0;25.5;17
1980;04;21;0;25;15
1980;04;22;0;26;15.5
1980;04;23;0;31;15
1980;04;24;0;30;19
1980;04;25;0;29;23
1980;04;26;4.5;30;22.5
1980;04;27;2.3;25;18.5
1980;04;28;0;25.5;21.5
1980;04;29;0;29;16
1980;04;30;0;33;20
1980;05;01;0;33;24
1980;05;02;0;33;24
1980;05;03;0;31;23
1980;05;04;0;35;22
1980;05;05;0;30;20
1980;05;06;0;33;25
1980;05;07;0;34;21
1980;05;08;0;33;24
1980;05;09;16;35;25
1980;05;10;0;34;22
1980;05;11;0;35;24
1980;05;12;0;32;23
1980;05;13;0;34;24
1980;05;14;0;34;25
1980;05;15;0;31;24
1980;05;16;0;31;24
1980;05;17;1.5;33;19
1980;05;18;9;34;22
1980;05;19;1;33;25
1980;05;20;0;30;22
1980;05;21;0;30;22
1980;05;22;0;33;22
1980;05;23;0;34;24
1980;05;24;2.5;33;25
1980;05;25;0;32;16
1980;05;26;1.5;33;25
1980;05;27;1.7;33.5;25
1980;05;28;0;33;21
1980;05;29;0;35;16
1980;05;30;0;33;24
1980;05;31;0;33;25
1980;06;01;0;32;22
1980;06;02;2.5;32;22.5
1980;06;03;19.5;34;20
1980;06;04;1.2;27;21.5
1980;06;05;0;33.5;19
1980;06;06;0;31.5;22
1980;06;07;0;32;24
1980;06;08;0;31;22.5
1980;06;09;0.8;28;21.5
1980;06;10;1;30;19
1980;06;11;6;30;21.5
1980;06;12;3.5;29;21.5
1980;06;13;14;27.5;21.5
1980;06;14;7.5;33;21
1980;06;15;19.5;26.5;19.5
1980;06;16;1.2;27.5;16.5
1980;06;17;0;30;19.5
1980;06;18;0;30.5;21.5
1980;06;19;0;29;18.5
1980;06;20;0;32.5;18
1980;06;21;3;32;16.5
1980;06;22;0;27.5;21.5
1980;06;23;80;30;22
1980;06;24;1;28;20.5
1980;06;25;4.5;28;21.5
1980;06;26;0;28.5;20.5
1980;06;27;0;28;21.5
1980;06;28;0;33.5;21
1980;06;29;2.2;30;15
1980;06;30;0;29.5;16
1980;07;01;0;30;15
1980;07;02;0;30;16
1980;07;03;0;30;15
1980;07;04;2;30;21
1980;07;05;0;29;21
1980;07;06;1;28;21
1980;07;07;2.5;28;17
1980;07;08;2.5;28;17
1980;07;09;19;28;18
1980;07;10;0;28;20
1980;07;11;0;30;15
1980;07;12;2.5;30;15
1980;07;13;2.5;30;16
1980;07;14;4.5;26;15
1980;07;15;11.5;29;15
1980;07;16;0;27;19
1980;07;17;0;30;20
1980;07;18;26.5;32;21
1980;07;19;0;31;20
1980;07;20;5.2;30;21
1980;07;21;1.5;30;15
1980;07;22;0;29;15
1980;07;23;4;29;16
1980;07;24;24;29;21
1980;07;25;6.5;26;21
1980;07;26;0;30;20
1980;07;27;0;31;20
1980;07;28;5;28;23
1980;07;29;2;27;22
1980;07;30;102;29;21
1980;07;31;29;26;21
1980;08;01;6;27;21
1980;08;02;10;27;20
1980;08;03;2;27;16
1980;08;04;3.5;28;15
1980;08;05;1.5;28;16
1980;08;06;3.5;30;17
1980;08;07;0;30;15
1980;08;08;0;32;22
1980;08;09;3.5;29;22
1980;08;10;6;27;15
1980;08;11;16;26;22
1980;08;12;4;29;21
1980;08;13;0;30;22
1980;08;14;0;31;19
1980;08;15;2.5;31;21
1980;08;16;0;30;22
1980;08;17;0;29;22
1980;08;18;13;31;20
1980;08;19;0;29;21
1980;08;20;2;29;22
1980;08;21;7;29;21
1980;08;22;37;28;21
1980;08;23;13;28;21
1980;08;24;0;28;20
1980;08;25;0;29;21
1980;08;26;0;29;21
1980;08;27;1.5;28;21
1980;08;28;0;24;20
1980;08;29;33;25;20
1980;08;30;7;27;21
1980;08;31;7.5;24;21
1980;09;01;0;28;20
1980;09;02;0;30;20
1980;09;03;1.5;29;22
1980;09;04;1.2;28;20
1980;09;05;5;29;21
1980;09;06;7;28;22
1980;09;07;0.5;28;21
1980;09;08;0;29;22
1980;09;09;2;28;21
1980;09;10;48;25;22
1980;09;11;10;25;20
1980;09;12;0;26;20
1980;09;13;3.5;26;20
1980;09;14;40;27;20
1980;09;15;10;27;19
1980;09;16;0;27;20
1980;09;17;0;29;20
1980;09;18;26;31;20
1980;09;19;2;25;21
1980;09;20;0;25;21
1980;09;21;1;28;21
1980;09;22;20;28;21
1980;09;23;20;23;19
1980;09;24;20;23;20
1980;09;25;100;23;21
1980;09;26;24.5;23;20
1980;09;27;7.5;26;21
1980;09;28;7.5;26;19
1980;09;29;20;28;20
1980;09;30;0;28;20
1980;10;01;0;27;20
1980;10;02;0;29;20
1980;10;03;1.3;25;20
1980;10;04;20;23;19
1980;10;05;0;25;20
1980;10;06;6.5;23;19
1980;10;07;3;23;20
1980;10;08;1.5;25;19
1980;10;09;0;26;18
1980;10;10;0;27;19
1980;10;11;3;26;20
1980;10;12;2;26;20
